-18.465,0.55608,-5.7986e-12
-18.173,0.58779,-7.4747e-12
-17.911,0.6175,-8.9885e-12
-17.675,0.64555,-1.0392e-11
-17.458,0.6722,-1.1702e-11
-17.258,0.69763,-1.292e-11
-17.072,0.72201,-1.407e-11
-16.899,0.74546,-1.5159e-11
-16.737,0.76808,-1.6203e-11
-16.583,0.78996,-1.7209e-11
-16.439,0.81116,-1.8167e-11
-16.302,0.83176,-1.9089e-11
-16.171,0.8518,-1.9986e-11
-16.046,0.87132,-2.0847e-11
-15.928,0.89037,-2.1689e-11
-15.814,0.90898,-2.2505e-11
-15.704,0.92718,-2.33e-11
-15.599,0.945,-2.4075e-11
-15.498,0.96247,-2.4839e-11
-15.401,0.9796,-2.5584e-11
-15.306,0.99641,-2.6316e-11
-15.216,1.0129,-2.7032e-11
-15.127,1.0292,-2.7748e-11
-15.042,1.0451,-2.8441e-11
-14.96,1.0609,-2.9132e-11
-14.879,1.0763,-2.9809e-11
-14.801,1.0916,-3.048e-11
-14.726,1.1066,-3.1135e-11
-14.652,1.1215,-3.1793e-11
-14.58,1.1361,-3.2443e-11
-14.51,1.1505,-3.3084e-11
-14.442,1.1648,-3.372e-11
-14.375,1.1789,-3.4353e-11
-14.31,1.1928,-3.4974e-11
-14.247,1.2065,-3.5593e-11
-14.185,1.2201,-3.6211e-11
-14.124,1.2336,-3.6818e-11
-14.065,1.2469,-3.7425e-11
-14.007,1.2601,-3.8025e-11
-13.95,1.2731,-3.8616e-11
-13.894,1.286,-3.9204e-11
-13.839,1.2988,-3.978e-11
-13.786,1.3114,-4.0347e-11
-13.733,1.324,-4.0906e-11
-13.682,1.3364,-4.1448e-11
-13.631,1.3487,-4.1975e-11
-13.582,1.3609,-4.2481e-11
-13.533,1.373,-4.2966e-11
-13.485,1.385,-4.3415e-11
-13.438,1.3969,-4.3824e-11
-13.392,1.4087,-4.4185e-11
-13.346,1.4204,-4.4477e-11
-13.301,1.4321,-4.4683e-11
-13.257,1.4436,-4.4774e-11
-13.214,1.455,-4.471e-11
-13.171,1.4664,-4.4433e-11
-13.129,1.4777,-4.3858e-11
-13.088,1.4889,-4.2853e-11
-13.047,1.5,-4.1205e-11
-13.007,1.511,-3.855e-11
-12.967,1.522,-3.422e-11
-12.928,1.5329,-2.6869e-11
-12.89,1.5438,-1.3566e-11
-12.852,1.5562,8.0418e-12
-12.815,1.5607,3.429e-12
-12.778,1.5713,4.9073e-11
-12.742,1.5818,1.8088e-09
-12.707,1.5923,9.4582e-10
-12.671,1.6027,6.7469e-10
-12.637,1.6131,4.8437e-10
-12.602,1.6234,3.4524e-10
-12.569,1.6336,2.3993e-10
-12.535,1.6438,1.5802e-10
-12.502,1.6539,9.4334e-11
-12.469,1.664,1.1128e-09
-12.437,1.674,9.0213e-10
-12.405,1.6839,8.3059e-10
-12.374,1.6939,7.6532e-10
-12.343,1.7037,7.0553e-10
-12.312,1.7135,6.5055e-10
-12.282,1.7233,5.9984e-10
-12.252,1.733,5.5295e-10
-12.222,1.7426,5.0947e-10
-12.192,1.7523,4.6905e-10
-12.163,1.7618,4.3139e-10
-12.135,1.7713,3.9622e-10
-12.106,1.7808,3.6331e-10
-12.078,1.7903,3.3246e-10
-12.05,1.7996,3.0348e-10
-12.022,1.809,2.7621e-10
-11.995,1.8183,2.5051e-10
-11.968,1.8276,2.2624e-10
-11.941,1.8368,2.0841e-10
-11.915,1.846,1.8935e-10
-11.888,1.8551,1.7119e-10
-11.863,1.8642,1.5388e-10
-11.837,1.8733,1.3736e-10
-11.811,1.8823,1.2159e-10
-11.786,1.8913,1.0651e-10
-11.761,1.9003,9.2089e-11
